,word_rate,word_length,section_number
0,0.0,0.0,1
1,0.0,0.0,1
2,0.0,0.0,1
3,0.0,0.0,1
4,0.0,0.0,1
5,0.0,0.0,1
6,0.0,0.0,1
7,0.0,0.0,1
8,0.0,0.0,1
9,0.0,0.0,1
10,0.0,0.0,1
11,0.0005946650418120000,0.002960480750385650,1
12,0.009824393442368310,0.038261668057382600,1
13,0.026262715450104300,0.08765389654080450,1
14,0.041649759308526800,0.16329958990557400,1
15,0.05253156624837570,0.26366951830327900,1
16,0.05286712991441470,0.3049919802459630,1
17,0.048716192626794700,0.2677686964803320,1
18,0.04479956794662830,0.20384201156139800,1
19,0.04212137989836240,0.16605514707753900,1
20,0.04057648306878370,0.16335625055561400,1
21,0.03988130709954820,0.1679191474175920,1
22,0.03970033319672590,0.16784660002834800,1
23,0.03974421106361430,0.17561152915710000,1
24,0.03983857950847680,0.17697478811843700,1
25,0.039913766465148900,0.17290262523746800,1
26,0.039958196698389800,0.16723192959821800,1
27,0.03998382860325550,0.15239494793505300,1
28,0.03999466210154420,0.13791272417747100,1
29,0.04000113968729280,0.12913531970493300,1
30,0.04000113968729280,0.1386068447679610,1
31,0.04000113968729280,0.15761496818108000,1
32,0.04000113968729280,0.16677283356952400,1
33,0.04000113968729280,0.1688237200415450,1
34,0.04000113968729280,0.20332882746778800,1
35,0.04000113968729280,0.23810778933592800,1
36,0.04000113968729280,0.21317023991573300,1
37,0.04000113968729280,0.1934546505350090,1
38,0.04000113968729280,0.1925117636763410,1
39,0.04000113968729280,0.1901398995584410,1
40,0.04000113968729280,0.17528347725390800,1
41,0.04000113968729280,0.15849328558934,1
42,0.04000113968729280,0.17860040206048400,1
43,0.04000113968729280,0.2061885703192430,1
44,0.04000113968729280,0.18475717741523600,1
45,0.04000113968729280,0.16960323687036700,1
46,0.04000113968729280,0.200776147403335,1
47,0.04000113968729280,0.25075686597809400,1
48,0.04000113968729280,0.25981391427697100,1
49,0.04000113968729280,0.22543318154624800,1
50,0.04000113968729280,0.1678667228165380,1
51,0.04000113968729280,0.11431154362714100,1
52,0.04000113968729280,0.10671217541810600,1
53,0.04000113968729280,0.13426536538161300,1
54,0.04000113968729280,0.14294658287401800,1
55,0.04000113968729280,0.13781139041404300,1
56,0.04000113968729280,0.13956107204234200,1
57,0.04000113968729280,0.1535663350906200,1
58,0.04000113968729280,0.170366161772019,1
59,0.04000113968729280,0.16629226790170500,1
60,0.04000113968729280,0.16389978996761300,1
61,0.04000113968729280,0.15192750489468400,1
62,0.04000113968729280,0.1494395644111540,1
63,0.04000113968729280,0.19960662406484300,1
64,0.04000113968729280,0.21827556302471700,1
65,0.04000113968729280,0.1879710221857510,1
66,0.04000113968729280,0.15941665225251900,1
67,0.04000113968729280,0.1863846360201620,1
68,0.04000113968729280,0.24636796511683100,1
69,0.04000113968729280,0.27539731280664800,1
70,0.04000113968729280,0.2766705758310710,1
71,0.04000113968729280,0.27078164109881800,1
72,0.04000113968729280,0.28178110767374900,1
73,0.04000113968729280,0.2781076658540710,1
74,0.04000113968729280,0.2651401585486640,1
75,0.04000113968729280,0.26467237990629500,1
76,0.04000113968729280,0.2390523334232180,1
77,0.04000113968729280,0.22239740737173500,1
78,0.04000113968729280,0.20240521019086800,1
79,0.04000113968729280,0.1701594172916670,1
80,0.04000113968729280,0.15804680376822300,1
81,0.04000113968729280,0.16413130764507000,1
82,0.04000113968729280,0.16840765916770000,1
83,0.04000113968729280,0.18184741384957600,1
84,0.04000113968729280,0.21342712879052000,1
85,0.04000113968729280,0.2214578790964320,1
86,0.04000113968729280,0.17374615596410800,1
87,0.04000113968729280,0.13048138920158700,1
88,0.04000113968729280,0.11745365276547700,1
89,0.04000113968729280,0.15083091758643800,1
90,0.04000113968729280,0.1979589435583360,1
91,0.04000113968729280,0.22246433890922400,1
92,0.04000113968729280,0.22665413049423700,1
93,0.04000113968729280,0.21595642750870800,1
94,0.04000113968729280,0.18732888317497200,1
95,0.04000113968729280,0.1504207889855690,1
96,0.04000113968729280,0.12900825608784300,1
97,0.04000113968729280,0.12530402922352400,1
98,0.04000113968729280,0.15404802569003900,1
99,0.04000113968729280,0.19608859968615900,1
100,0.04000113968729280,0.21052533604239200,1
101,0.04000113968729280,0.22077818805978600,1
102,0.04000113968729280,0.23695176516230200,1
103,0.03999685820106810,0.2075451715160540,1
104,0.036376758482915100,0.18676137724392200,1
105,0.022017471774055300,0.12462665057885200,1
106,0.006684819504780330,0.044357845394500700,1
107,-0.0022045265804724400,-0.006519718418208460,1
108,-0.005469580456581950,-0.026574553128662200,1
109,-0.005631537197103550,-0.028987553973187500,1
110,-0.004448369747499980,-0.02359997511974520,1
111,-0.0029651462811918100,-0.01612947995995250,1
112,-0.0017239306004422200,-0.009593196621807090,1
113,-0.0008906577751692330,-0.00505151856729205,1
114,-0.00041412562069176800,-0.0023964507050995200,1
115,-0.0001743540794175130,-0.001028207168955280,1
116,-6.58740639376389E-05,-0.00038403135647431200,1
117,-2.10241404855344E-05,-0.00013363907081299300,1
118,4.16442089152527E-07,-5.33507422411384E-07,1
119,0.0036243812043777800,0.02839610310698540,1
120,0.017983667913237500,0.12926120897910300,1
121,0.03331632018251250,0.22268832615615600,1
